[2025-09-26 09:44:42.557] [Thread:1] [INFO] Logger inicializado com sucesso
[2025-09-26 09:44:42.558] [Thread:1] [INFO] Iniciando teste de logging concorrente
[2025-09-26 09:44:42.558] [Thread:4] [INFO] Worker 2 - Mensagem 0
[2025-09-26 09:44:42.558] [Thread:3] [INFO] Worker 1 - Mensagem 0
[2025-09-26 09:44:42.558] [Thread:2] [INFO] Worker 0 - Mensagem 0
[2025-09-26 09:44:42.559] [Thread:5] [INFO] Worker 3 - Mensagem 0
[2025-09-26 09:44:42.559] [Thread:6] [INFO] Worker 4 - Mensagem 0
[2025-09-26 09:44:42.574] [Thread:3] [DEBUG] Worker 1 - Mensagem 1
[2025-09-26 09:44:42.574] [Thread:4] [DEBUG] Worker 2 - Mensagem 1
[2025-09-26 09:44:42.574] [Thread:5] [DEBUG] Worker 3 - Mensagem 1
[2025-09-26 09:44:42.574] [Thread:2] [DEBUG] Worker 0 - Mensagem 1
[2025-09-26 09:44:42.575] [Thread:6] [DEBUG] Worker 4 - Mensagem 1
[2025-09-26 09:44:42.593] [Thread:2] [WARNING] Worker 0 - Mensagem 2
[2025-09-26 09:44:42.594] [Thread:5] [WARNING] Worker 3 - Mensagem 2
[2025-09-26 09:44:42.594] [Thread:4] [WARNING] Worker 2 - Mensagem 2
[2025-09-26 09:44:42.594] [Thread:6] [WARNING] Worker 4 - Mensagem 2
[2025-09-26 09:44:42.594] [Thread:3] [WARNING] Worker 1 - Mensagem 2
[2025-09-26 09:44:42.608] [Thread:3] [ERROR] Worker 1 - Mensagem 3
[2025-09-26 09:44:42.608] [Thread:6] [ERROR] Worker 4 - Mensagem 3
[2025-09-26 09:44:42.608] [Thread:4] [ERROR] Worker 2 - Mensagem 3
[2025-09-26 09:44:42.608] [Thread:5] [ERROR] Worker 3 - Mensagem 3
[2025-09-26 09:44:42.609] [Thread:2] [ERROR] Worker 0 - Mensagem 3
[2025-09-26 09:44:42.624] [Thread:2] [INFO] Worker 0 - Mensagem 4
[2025-09-26 09:44:42.624] [Thread:5] [INFO] Worker 3 - Mensagem 4
[2025-09-26 09:44:42.624] [Thread:4] [INFO] Worker 2 - Mensagem 4
[2025-09-26 09:44:42.624] [Thread:6] [INFO] Worker 4 - Mensagem 4
[2025-09-26 09:44:42.624] [Thread:3] [INFO] Worker 1 - Mensagem 4
[2025-09-26 09:44:42.639] [Thread:3] [DEBUG] Worker 1 - Mensagem 5
[2025-09-26 09:44:42.639] [Thread:6] [DEBUG] Worker 4 - Mensagem 5
[2025-09-26 09:44:42.639] [Thread:2] [DEBUG] Worker 0 - Mensagem 5
