[2025-09-26 08:27:23.498] [Thread:1] [INFO] Logger inicializado com sucesso
[2025-09-26 08:27:23.500] [Thread:1] [INFO] Iniciando teste de logging concorrente
[2025-09-26 08:27:23.500] [Thread:2] [INFO] Worker 0 - Mensagem 0
[2025-09-26 08:27:23.500] [Thread:3] [INFO] Worker 1 - Mensagem 0
[2025-09-26 08:27:23.500] [Thread:4] [INFO] Worker 2 - Mensagem 0
[2025-09-26 08:27:23.500] [Thread:5] [INFO] Worker 3 - Mensagem 0
[2025-09-26 08:27:23.500] [Thread:6] [INFO] Worker 4 - Mensagem 0
[2025-09-26 08:27:23.514] [Thread:6] [DEBUG] Worker 4 - Mensagem 1
[2025-09-26 08:27:23.514] [Thread:5] [DEBUG] Worker 3 - Mensagem 1
[2025-09-26 08:27:23.514] [Thread:4] [DEBUG] Worker 2 - Mensagem 1
[2025-09-26 08:27:23.514] [Thread:3] [DEBUG] Worker 1 - Mensagem 1
[2025-09-26 08:27:23.514] [Thread:2] [DEBUG] Worker 0 - Mensagem 1
[2025-09-26 08:27:23.533] [Thread:3] [WARNING] Worker 1 - Mensagem 2
[2025-09-26 08:27:23.533] [Thread:2] [WARNING] Worker 0 - Mensagem 2
[2025-09-26 08:27:23.533] [Thread:4] [WARNING] Worker 2 - Mensagem 2
[2025-09-26 08:27:23.533] [Thread:5] [WARNING] Worker 3 - Mensagem 2
[2025-09-26 08:27:23.533] [Thread:6] [WARNING] Worker 4 - Mensagem 2
[2025-09-26 08:27:23.548] [Thread:6] [ERROR] Worker 4 - Mensagem 3
[2025-09-26 08:27:23.548] [Thread:5] [ERROR] Worker 3 - Mensagem 3
[2025-09-26 08:27:23.548] [Thread:4] [ERROR] Worker 2 - Mensagem 3
[2025-09-26 08:27:23.548] [Thread:3] [ERROR] Worker 1 - Mensagem 3
[2025-09-26 08:27:23.548] [Thread:2] [ERROR] Worker 0 - Mensagem 3
[2025-09-26 08:27:23.564] [Thread:2] [INFO] Worker 0 - Mensagem 4
[2025-09-26 08:27:23.564] [Thread:3] [INFO] Worker 1 - Mensagem 4
[2025-09-26 08:27:23.564] [Thread:4] [INFO] Worker 2 - Mensagem 4
[2025-09-26 08:27:23.564] [Thread:5] [INFO] Worker 3 - Mensagem 4
[2025-09-26 08:27:23.564] [Thread:6] [INFO] Worker 4 - Mensagem 4
[2025-09-26 08:27:23.580] [Thread:6] [DEBUG] Worker 4 - Mensagem 5
[2025-09-26 08:27:23.580] [Thread:4] [DEBUG] Worker 2 - Mensagem 5
[2025-09-26 08:27:23.580] [Thread:5] [DEBUG] Worker 3 - Mensagem 5
[2025-09-26 08:27:23.580] [Thread:3] [DEBUG] Worker 1 - Mensagem 5
[2025-09-26 08:27:23.580] [Thread:2] [DEBUG] Worker 0 - Mensagem 5
[2025-09-26 08:27:23.595] [Thread:2] [WARNING] Worker 0 - Mensagem 6
[2025-09-26 08:27:23.596] [Thread:5] [WARNING] Worker 3 - Mensagem 6
[2025-09-26 08:27:23.596] [Thread:4] [WARNING] Worker 2 - Mensagem 6
[2025-09-26 08:27:23.596] [Thread:3] [WARNING] Worker 1 - Mensagem 6
[2025-09-26 08:27:23.596] [Thread:6] [WARNING] Worker 4 - Mensagem 6
[2025-09-26 08:27:23.614] [Thread:4] [ERROR] Worker 2 - Mensagem 7
[2025-09-26 08:27:23.614] [Thread:6] [ERROR] Worker 4 - Mensagem 7
[2025-09-26 08:27:23.614] [Thread:5] [ERROR] Worker 3 - Mensagem 7
[2025-09-26 08:27:23.614] [Thread:3] [ERROR] Worker 1 - Mensagem 7
[2025-09-26 08:27:23.615] [Thread:2] [ERROR] Worker 0 - Mensagem 7
[2025-09-26 08:27:23.630] [Thread:5] [INFO] Worker 3 - Mensagem 8
[2025-09-26 08:27:23.630] [Thread:6] [INFO] Worker 4 - Mensagem 8
[2025-09-26 08:27:23.630] [Thread:3] [INFO] Worker 1 - Mensagem 8
[2025-09-26 08:27:23.630] [Thread:2] [INFO] Worker 0 - Mensagem 8
[2025-09-26 08:27:23.630] [Thread:4] [INFO] Worker 2 - Mensagem 8
[2025-09-26 08:27:23.645] [Thread:4] [DEBUG] Worker 2 - Mensagem 9
[2025-09-26 08:27:23.645] [Thread:2] [DEBUG] Worker 0 - Mensagem 9
[2025-09-26 08:27:23.646] [Thread:3] [DEBUG] Worker 1 - Mensagem 9
[2025-09-26 08:27:23.646] [Thread:6] [DEBUG] Worker 4 - Mensagem 9
[2025-09-26 08:27:23.646] [Thread:5] [DEBUG] Worker 3 - Mensagem 9
[2025-09-26 08:27:23.661] [Thread:2] [WARNING] Worker 0 - Mensagem 10
[2025-09-26 08:27:23.661] [Thread:3] [WARNING] Worker 1 - Mensagem 10
[2025-09-26 08:27:23.661] [Thread:5] [WARNING] Worker 3 - Mensagem 10
[2025-09-26 08:27:23.661] [Thread:4] [WARNING] Worker 2 - Mensagem 10
[2025-09-26 08:27:23.662] [Thread:6] [WARNING] Worker 4 - Mensagem 10
[2025-09-26 08:27:23.677] [Thread:3] [ERROR] Worker 1 - Mensagem 11
[2025-09-26 08:27:23.677] [Thread:6] [ERROR] Worker 4 - Mensagem 11
[2025-09-26 08:27:23.677] [Thread:5] [ERROR] Worker 3 - Mensagem 11
[2025-09-26 08:27:23.677] [Thread:4] [ERROR] Worker 2 - Mensagem 11
[2025-09-26 08:27:23.677] [Thread:2] [ERROR] Worker 0 - Mensagem 11
[2025-09-26 08:27:23.692] [Thread:5] [INFO] Worker 3 - Mensagem 12
[2025-09-26 08:27:23.692] [Thread:6] [INFO] Worker 4 - Mensagem 12
[2025-09-26 08:27:23.693] [Thread:2] [INFO] Worker 0 - Mensagem 12
[2025-09-26 08:27:23.693] [Thread:4] [INFO] Worker 2 - Mensagem 12
[2025-09-26 08:27:23.693] [Thread:3] [INFO] Worker 1 - Mensagem 12
[2025-09-26 08:27:23.708] [Thread:6] [DEBUG] Worker 4 - Mensagem 13
[2025-09-26 08:27:23.708] [Thread:4] [DEBUG] Worker 2 - Mensagem 13
[2025-09-26 08:27:23.708] [Thread:2] [DEBUG] Worker 0 - Mensagem 13
[2025-09-26 08:27:23.708] [Thread:3] [DEBUG] Worker 1 - Mensagem 13
[2025-09-26 08:27:23.708] [Thread:5] [DEBUG] Worker 3 - Mensagem 13
[2025-09-26 08:27:23.723] [Thread:5] [WARNING] Worker 3 - Mensagem 14
[2025-09-26 08:27:23.724] [Thread:2] [WARNING] Worker 0 - Mensagem 14
[2025-09-26 08:27:23.724] [Thread:4] [WARNING] Worker 2 - Mensagem 14
[2025-09-26 08:27:23.724] [Thread:3] [WARNING] Worker 1 - Mensagem 14
[2025-09-26 08:27:23.724] [Thread:6] [WARNING] Worker 4 - Mensagem 14
[2025-09-26 08:27:23.739] [Thread:4] [ERROR] Worker 2 - Mensagem 15
[2025-09-26 08:27:23.739] [Thread:3] [ERROR] Worker 1 - Mensagem 15
[2025-09-26 08:27:23.739] [Thread:5] [ERROR] Worker 3 - Mensagem 15
[2025-09-26 08:27:23.739] [Thread:6] [ERROR] Worker 4 - Mensagem 15
[2025-09-26 08:27:23.740] [Thread:2] [ERROR] Worker 0 - Mensagem 15
[2025-09-26 08:27:23.755] [Thread:6] [INFO] Worker 4 - Mensagem 16
[2025-09-26 08:27:23.755] [Thread:2] [INFO] Worker 0 - Mensagem 16
[2025-09-26 08:27:23.755] [Thread:5] [INFO] Worker 3 - Mensagem 16
[2025-09-26 08:27:23.755] [Thread:3] [INFO] Worker 1 - Mensagem 16
[2025-09-26 08:27:23.755] [Thread:4] [INFO] Worker 2 - Mensagem 16
[2025-09-26 08:27:23.770] [Thread:5] [DEBUG] Worker 3 - Mensagem 17
[2025-09-26 08:27:23.771] [Thread:3] [DEBUG] Worker 1 - Mensagem 17
[2025-09-26 08:27:23.771] [Thread:2] [DEBUG] Worker 0 - Mensagem 17
[2025-09-26 08:27:23.771] [Thread:4] [DEBUG] Worker 2 - Mensagem 17
[2025-09-26 08:27:23.771] [Thread:6] [DEBUG] Worker 4 - Mensagem 17
[2025-09-26 08:27:23.786] [Thread:3] [WARNING] Worker 1 - Mensagem 18
[2025-09-26 08:27:23.786] [Thread:2] [WARNING] Worker 0 - Mensagem 18
[2025-09-26 08:27:23.786] [Thread:6] [WARNING] Worker 4 - Mensagem 18
[2025-09-26 08:27:23.786] [Thread:4] [WARNING] Worker 2 - Mensagem 18
[2025-09-26 08:27:23.787] [Thread:5] [WARNING] Worker 3 - Mensagem 18
[2025-09-26 08:27:23.802] [Thread:5] [ERROR] Worker 3 - Mensagem 19
[2025-09-26 08:27:23.802] [Thread:4] [ERROR] Worker 2 - Mensagem 19
[2025-09-26 08:27:23.802] [Thread:2] [ERROR] Worker 0 - Mensagem 19
[2025-09-26 08:27:23.802] [Thread:3] [ERROR] Worker 1 - Mensagem 19
